Algorithm,N,TimeTaken
Inbuilt Sort,30,3
Inbuilt Sort,89,9
Inbuilt Sort,18,1
Inbuilt Sort,50,4
Inbuilt Sort,24,1
Inbuilt Sort,34,2
Inbuilt Sort,73,6
Inbuilt Sort,40,3
Inbuilt Sort,29,2
Inbuilt Sort,3,0
Inbuilt Sort,62,7
Inbuilt Sort,97,9
Inbuilt Sort,67,5
Inbuilt Sort,87,8
Inbuilt Sort,56,4
Inbuilt Sort,15,1
Inbuilt Sort,32,2
Inbuilt Sort,87,8
Inbuilt Sort,17,1
Inbuilt Sort,16,1
Inbuilt Sort,40,3
Inbuilt Sort,57,5
Inbuilt Sort,94,8
Inbuilt Sort,87,8
Inbuilt Sort,79,6
Inbuilt Sort,96,8
Inbuilt Sort,19,1
Inbuilt Sort,9,0
Inbuilt Sort,77,6
Inbuilt Sort,96,9
Inbuilt Sort,15,1
Inbuilt Sort,44,3
Inbuilt Sort,20,1
Inbuilt Sort,58,4
Inbuilt Sort,56,4
Inbuilt Sort,26,1
Inbuilt Sort,71,6
Inbuilt Sort,73,6
Inbuilt Sort,61,5
Inbuilt Sort,23,1
Inbuilt Sort,71,6
Inbuilt Sort,15,1
Inbuilt Sort,63,5
Inbuilt Sort,63,5
Inbuilt Sort,17,1
Inbuilt Sort,13,0
Inbuilt Sort,96,8
Inbuilt Sort,29,2
Inbuilt Sort,37,3
Inbuilt Sort,21,1
Inbuilt Sort,96,9
Inbuilt Sort,58,4
Inbuilt Sort,14,0
Inbuilt Sort,77,6
Inbuilt Sort,28,2
Inbuilt Sort,91,9
Inbuilt Sort,53,4
Inbuilt Sort,85,7
Inbuilt Sort,64,6
Inbuilt Sort,25,2
Inbuilt Sort,42,3
Inbuilt Sort,86,7
Inbuilt Sort,48,3
Inbuilt Sort,44,3
Inbuilt Sort,93,8
Inbuilt Sort,51,4
Inbuilt Sort,55,4
Inbuilt Sort,64,5
Inbuilt Sort,20,1
Inbuilt Sort,9,0
Inbuilt Sort,35,2
Inbuilt Sort,81,7
Inbuilt Sort,90,7
Inbuilt Sort,18,1
Inbuilt Sort,76,6
Inbuilt Sort,90,8
Inbuilt Sort,95,8
Inbuilt Sort,20,1
Inbuilt Sort,10,0
Inbuilt Sort,61,5
Inbuilt Sort,4,0
Inbuilt Sort,16,1
Inbuilt Sort,74,6
Inbuilt Sort,15,1
Inbuilt Sort,27,2
Inbuilt Sort,78,7
Inbuilt Sort,16,1
Inbuilt Sort,85,7
Inbuilt Sort,7,0
Inbuilt Sort,99,10
Inbuilt Sort,32,2
Inbuilt Sort,23,1
Inbuilt Sort,40,3
Inbuilt Sort,89,8
Inbuilt Sort,34,2
Inbuilt Sort,27,2
Inbuilt Sort,57,4
Inbuilt Sort,53,4
Inbuilt Sort,78,6
Inbuilt Sort,44,3
Quick Sort,30,2
Quick Sort,89,8
Quick Sort,18,0
Quick Sort,50,3
Quick Sort,24,1
Quick Sort,34,2
Quick Sort,73,6
Quick Sort,40,2
Quick Sort,29,1
Quick Sort,3,0
Quick Sort,62,4
Quick Sort,97,8
Quick Sort,67,5
Quick Sort,87,6
Quick Sort,56,4
Quick Sort,15,0
Quick Sort,32,2
Quick Sort,87,6
Quick Sort,17,0
Quick Sort,16,0
Quick Sort,40,2
Quick Sort,57,4
Quick Sort,94,8
Quick Sort,87,6
Quick Sort,79,5
Quick Sort,96,7
Quick Sort,19,1
Quick Sort,9,0
Quick Sort,77,5
Quick Sort,96,8
Quick Sort,15,0
Quick Sort,44,2
Quick Sort,20,1
Quick Sort,58,4
Quick Sort,56,4
Quick Sort,26,1
Quick Sort,71,4
Quick Sort,73,5
Quick Sort,61,4
Quick Sort,23,1
Quick Sort,71,4
Quick Sort,15,0
Quick Sort,63,22
Quick Sort,63,6
Quick Sort,17,1
Quick Sort,13,1
Quick Sort,96,9
Quick Sort,29,1
Quick Sort,37,2
Quick Sort,21,1
Quick Sort,96,8
Quick Sort,58,3
Quick Sort,14,0
Quick Sort,77,5
Quick Sort,28,1
Quick Sort,91,7
Quick Sort,53,3
Quick Sort,85,6
Quick Sort,64,4
Quick Sort,25,1
Quick Sort,42,2
Quick Sort,86,6
Quick Sort,48,3
Quick Sort,44,2
Quick Sort,93,7
Quick Sort,51,3
Quick Sort,55,4
Quick Sort,64,4
Quick Sort,20,1
Quick Sort,9,0
Quick Sort,35,2
Quick Sort,81,6
Quick Sort,90,7
Quick Sort,18,1
Quick Sort,76,5
Quick Sort,90,6
Quick Sort,95,7
Quick Sort,20,1
Quick Sort,10,0
Quick Sort,61,4
Quick Sort,4,0
Quick Sort,16,0
Quick Sort,74,5
Quick Sort,15,0
Quick Sort,27,1
Quick Sort,78,5
Quick Sort,16,0
Quick Sort,85,5
Quick Sort,7,0
Quick Sort,99,7
Quick Sort,32,2
Quick Sort,23,1
Quick Sort,40,2
Quick Sort,89,7
Quick Sort,34,1
Quick Sort,27,1
Quick Sort,57,4
Quick Sort,53,4
Quick Sort,78,6
Quick Sort,44,2
Merge Sort,30,3
Merge Sort,89,8
Merge Sort,18,1
Merge Sort,50,4
Merge Sort,24,1
Merge Sort,34,2
Merge Sort,73,6
Merge Sort,40,3
Merge Sort,29,2
Merge Sort,3,0
Merge Sort,62,5
Merge Sort,97,9
Merge Sort,67,5
Merge Sort,87,7
Merge Sort,56,4
Merge Sort,15,1
Merge Sort,32,2
Merge Sort,87,7
Merge Sort,17,1
Merge Sort,16,1
Merge Sort,40,3
Merge Sort,57,4
Merge Sort,94,8
Merge Sort,87,7
Merge Sort,79,6
Merge Sort,96,8
Merge Sort,19,1
Merge Sort,9,0
Merge Sort,77,6
Merge Sort,96,8
Merge Sort,15,0
Merge Sort,44,3
Merge Sort,20,1
Merge Sort,58,4
Merge Sort,56,4
Merge Sort,26,1
Merge Sort,71,6
Merge Sort,73,6
Merge Sort,61,5
Merge Sort,23,1
Merge Sort,71,6
Merge Sort,15,0
Merge Sort,63,5
Merge Sort,63,5
Merge Sort,17,1
Merge Sort,13,0
Merge Sort,96,9
Merge Sort,29,2
Merge Sort,37,2
Merge Sort,21,1
Merge Sort,96,8
Merge Sort,58,5
Merge Sort,14,0
Merge Sort,77,7
Merge Sort,28,1
Merge Sort,91,8
Merge Sort,53,4
Merge Sort,85,7
Merge Sort,64,5
Merge Sort,25,1
Merge Sort,42,3
Merge Sort,86,7
Merge Sort,48,3
Merge Sort,44,3
Merge Sort,93,8
Merge Sort,51,3
Merge Sort,55,4
Merge Sort,64,5
Merge Sort,20,1
Merge Sort,9,0
Merge Sort,35,2
Merge Sort,81,7
Merge Sort,90,8
Merge Sort,18,1
Merge Sort,76,6
Merge Sort,90,8
Merge Sort,95,8
Merge Sort,20,1
Merge Sort,10,0
Merge Sort,61,5
Merge Sort,4,0
Merge Sort,16,1
Merge Sort,74,6
Merge Sort,15,0
Merge Sort,27,1
Merge Sort,78,6
Merge Sort,16,1
Merge Sort,85,7
Merge Sort,7,0
Merge Sort,99,9
Merge Sort,32,2
Merge Sort,23,1
Merge Sort,40,3
Merge Sort,89,7
Merge Sort,34,2
Merge Sort,27,1
Merge Sort,57,4
Merge Sort,53,4
Merge Sort,78,7
Merge Sort,44,3
Insertion Sort,30,2
Insertion Sort,89,17
Insertion Sort,18,0
Insertion Sort,50,5
Insertion Sort,24,1
Insertion Sort,34,2
Insertion Sort,73,12
Insertion Sort,40,3
Insertion Sort,29,2
Insertion Sort,3,0
Insertion Sort,62,8
Insertion Sort,97,21
Insertion Sort,67,9
Insertion Sort,87,15
Insertion Sort,56,7
Insertion Sort,15,0
Insertion Sort,32,2
Insertion Sort,87,17
Insertion Sort,17,1
Insertion Sort,16,0
Insertion Sort,40,4
Insertion Sort,57,7
Insertion Sort,94,19
Insertion Sort,87,16
Insertion Sort,79,12
Insertion Sort,96,20
Insertion Sort,19,1
Insertion Sort,9,0
Insertion Sort,77,12
Insertion Sort,96,21
Insertion Sort,15,0
Insertion Sort,44,4
Insertion Sort,20,1
Insertion Sort,58,8
Insertion Sort,56,7
Insertion Sort,26,1
Insertion Sort,71,10
Insertion Sort,73,11
Insertion Sort,61,7
Insertion Sort,23,1
Insertion Sort,71,11
Insertion Sort,15,0
Insertion Sort,63,10
Insertion Sort,63,9
Insertion Sort,17,0
Insertion Sort,13,0
Insertion Sort,96,23
Insertion Sort,29,1
Insertion Sort,37,3
Insertion Sort,21,1
Insertion Sort,96,22
Insertion Sort,58,7
Insertion Sort,14,0
Insertion Sort,77,14
Insertion Sort,28,1
Insertion Sort,91,18
Insertion Sort,53,6
Insertion Sort,85,16
Insertion Sort,64,9
Insertion Sort,25,1
Insertion Sort,42,4
Insertion Sort,86,15
Insertion Sort,48,6
Insertion Sort,44,4
Insertion Sort,93,20
Insertion Sort,51,6
Insertion Sort,55,6
Insertion Sort,64,8
Insertion Sort,20,1
Insertion Sort,9,0
Insertion Sort,35,3
Insertion Sort,81,14
Insertion Sort,90,18
Insertion Sort,18,0
Insertion Sort,76,12
Insertion Sort,90,17
Insertion Sort,95,18
Insertion Sort,20,0
Insertion Sort,10,0
Insertion Sort,61,7
Insertion Sort,4,0
Insertion Sort,16,0
Insertion Sort,74,13
Insertion Sort,15,0
Insertion Sort,27,1
Insertion Sort,78,13
Insertion Sort,16,0
Insertion Sort,85,15
Insertion Sort,7,0
Insertion Sort,99,21
Insertion Sort,32,2
Insertion Sort,23,1
Insertion Sort,40,4
Insertion Sort,89,15
Insertion Sort,34,2
Insertion Sort,27,1
Insertion Sort,57,7
Insertion Sort,53,7
Insertion Sort,78,12
Insertion Sort,44,4
Selection Sort,30,2
Selection Sort,89,16
Selection Sort,18,1
Selection Sort,50,5
Selection Sort,24,1
Selection Sort,34,2
Selection Sort,73,11
Selection Sort,40,3
Selection Sort,29,2
Selection Sort,3,0
Selection Sort,62,8
Selection Sort,97,18
Selection Sort,67,9
Selection Sort,87,14
Selection Sort,56,6
Selection Sort,15,0
Selection Sort,32,2
Selection Sort,87,15
Selection Sort,17,1
Selection Sort,16,0
Selection Sort,40,3
Selection Sort,57,7
Selection Sort,94,17
Selection Sort,87,14
Selection Sort,79,12
Selection Sort,96,18
Selection Sort,19,1
Selection Sort,9,0
Selection Sort,77,12
Selection Sort,96,18
Selection Sort,15,0
Selection Sort,44,4
Selection Sort,20,1
Selection Sort,58,7
Selection Sort,56,7
Selection Sort,26,1
Selection Sort,71,10
Selection Sort,73,11
Selection Sort,61,7
Selection Sort,23,1
Selection Sort,71,10
Selection Sort,15,0
Selection Sort,63,8
Selection Sort,63,8
Selection Sort,17,0
Selection Sort,13,0
Selection Sort,96,17
Selection Sort,29,2
Selection Sort,37,3
Selection Sort,21,1
Selection Sort,96,18
Selection Sort,58,7
Selection Sort,14,0
Selection Sort,77,11
Selection Sort,28,2
Selection Sort,91,16
Selection Sort,53,6
Selection Sort,85,14
Selection Sort,64,8
Selection Sort,25,1
Selection Sort,42,4
Selection Sort,86,17
Selection Sort,48,5
Selection Sort,44,4
Selection Sort,93,16
Selection Sort,51,5
Selection Sort,55,6
Selection Sort,64,8
Selection Sort,20,1
Selection Sort,9,0
Selection Sort,35,3
Selection Sort,81,12
Selection Sort,90,15
Selection Sort,18,1
Selection Sort,76,11
Selection Sort,90,15
Selection Sort,95,17
Selection Sort,20,1
Selection Sort,10,0
Selection Sort,61,7
Selection Sort,4,0
Selection Sort,16,1
Selection Sort,74,10
Selection Sort,15,0
Selection Sort,27,2
Selection Sort,78,12
Selection Sort,16,0
Selection Sort,85,14
Selection Sort,7,0
Selection Sort,99,18
Selection Sort,32,2
Selection Sort,23,1
Selection Sort,40,3
Selection Sort,89,15
Selection Sort,34,2
Selection Sort,27,2
Selection Sort,57,7
Selection Sort,53,6
Selection Sort,78,12
Selection Sort,44,4
